"func_name","file","code","cyclomatic_complexity","num_params","num_lines","has_docstring","comment_ratio","nesting_depth","num_returns","label"
"__init__","core.py","def __init__(self, expr: Union[ParserElement, str]):
    super().__init__(expr)
    self.callPreparse = False","1","2","3","0","0.0","0","0","Good"
"expect","__init__.py","def expect(self, s):
    line = next(self)
    tag = line[0].lower()
    assert tag == s, ""Expected '%s', got '%s'"" % (s, tag)
    return line","2","2","5","0","0.0","0","1","Good"
"bind","application.py","def bind(self, param_values, **kw_param_values):
    """"""Bind the definition to parameter values, creating a document.

    :return: A 2-tuple (media_type, document).
    """"""
    definition = self.resolve_definition()
    params = definition.params(self.resource)
    validated_values = self.validate_param_values(
        params, param_values, **kw_param_values)
    media_type = self.media_type
    if media_type == 'application/x-www-form-urlencoded':
        doc = urlencode(sorted(validated_values.items()))
    elif media_type == 'multipart/form-data':
        parts = []
        missing = object()
        for param in params:
            value = validated_values.get(param.name, missing)
            if value is not missing:
                parts.append((param.type == 'binary', param.name, value))
        media_type, doc = self._generate_multipart_form(parts)
    elif media_type == 'application/json':
        doc = json.dumps(validated_values)
    else:
        raise ValueError(""Unsupported media type: '%s'"" % media_type)
    return media_type, doc","6","2","25","1","0.0","4","1","Okay"
"text_show_operations","_fixed_width_page.py","def text_show_operations(
    ops: Iterator[Tuple[List[Any], bytes]],
    fonts: Dict[str, Font],
    strip_rotated: bool = True,
    debug_path: Optional[Path] = None,
) -> List[BTGroup]:
    """"""
    Extract text from BT/ET operator pairs.

    Args:
        ops (Iterator[Tuple[List, bytes]]): iterator of operators in content stream
        fonts (Dict[str, Font]): font dictionary
        strip_rotated: Removes text if rotated w.r.t. to the page. Defaults to True.
        debug_path (Path, optional): Path to a directory for saving debug output.

    Returns:
        List[BTGroup]: list of dicts of text rendered by each BT operator

    """"""
    state_mgr = TextStateManager()  # transformation stack manager
    bt_groups: List[BTGroup] = []  # BT operator dict
    tj_ops: List[TextStateParams] = []  # Tj/TJ operator data
    for operands, op in ops:
        if op in (b""BT"", b""q""):
            bts, tjs = recurs_to_target_op(
                ops, state_mgr, b""ET"" if op == b""BT"" else b""Q"", fonts, strip_rotated
            )
            bt_groups.extend(bts)
            tj_ops.extend(tjs)
        elif op == b""Tf"":
            state_mgr.set_font(fonts[operands[0]], operands[1])
        else:  # set Tc, Tw, Tz, TL, and Ts if required. ignores all other ops
            state_mgr.set_state_param(op, operands)

    if any(tj.rotated for tj in tj_ops):
        if strip_rotated:
            logger_warning(
                ""Rotated text discovered. Output will be incomplete."", __name__
            )
        else:
            logger_warning(
                ""Rotated text discovered. Layout will be degraded."", __name__
            )
    if not all(tj.font.interpretable for tj in tj_ops):
        logger_warning(
            ""PDF contains an uninterpretable font. Output will be incomplete."", __name__
        )

    # left align the data, i.e. decrement all tx values by min(tx)
    min_x = min((x[""tx""] for x in bt_groups), default=0.0)
    bt_groups = [
        dict(ogrp, tx=ogrp[""tx""] - min_x, displaced_tx=ogrp[""displaced_tx""] - min_x)  # type: ignore[misc]
        for ogrp in sorted(
            bt_groups, key=lambda x: (x[""ty""] * x[""flip_sort""], -x[""tx""]), reverse=True
        )
    ]

    if debug_path:  # pragma: no cover
        import json  # noqa: PLC0415

        debug_path.joinpath(""bts.json"").write_text(
            json.dumps(bt_groups, indent=2, default=str), ""utf-8""
        )
        debug_path.joinpath(""tjs.json"").write_text(
            json.dumps(
                tj_ops, indent=2, default=lambda x: getattr(x, ""to_dict"", str)(x)
            ),
            ""utf-8"",
        )
    return bt_groups","13","4","70","1","0.014","3","1","Bad"
"__init__","qu2cuPen.py","def __init__(
    self,
    other_pen,
    max_err,
    all_cubic=False,
    reverse_direction=False,
    stats=None,
):
    if reverse_direction:
        other_pen = ReverseContourPen(other_pen)
    super().__init__(other_pen)
    self.all_cubic = all_cubic
    self.max_err = max_err
    self.stats = stats","2","6","14","0","0.0","1","0","Okay"
"prune_post_subset","__init__.py","def prune_post_subset(self, font, options):
    if self.Value is None:
        assert self.ValueFormat == 0
        return True

    # Shrink ValueFormat
    if self.Format == 1:
        if not options.hinting:
            self.Value.prune_hints()
        self.ValueFormat = self.Value.getEffectiveFormat()
    elif self.Format == 2:
        if None in self.Value:
            assert self.ValueFormat == 0
            assert all(v is None for v in self.Value)
        else:
            if not options.hinting:
                for v in self.Value:
                    v.prune_hints()
            self.ValueFormat = reduce(
                int.__or__, [v.getEffectiveFormat() for v in self.Value], 0
            )

    # Downgrade to Format 1 if all ValueRecords are the same
    if self.Format == 2 and all(v == self.Value[0] for v in self.Value):
        self.Format = 1
        self.Value = self.Value[0] if self.ValueFormat != 0 else None
        del self.ValueCount

    return True","16","3","29","0","0.069","5","2","Bad"
"_neighborhood_aggregate_undirected","graph_hashing.py","def _neighborhood_aggregate_undirected(G, node, node_labels, edge_attr=None):
    """"""
    Compute new labels for given node in an undirected graph by aggregating
    the labels of each node's neighbors.
    """"""
    label_list = []
    for nbr in G.neighbors(node):
        prefix = """" if edge_attr is None else str(G[node][nbr][edge_attr])
        label_list.append(prefix + node_labels[nbr])
    return node_labels[node] + """".join(sorted(label_list))","3","4","10","1","0.0","1","1","Good"
"_save","GifImagePlugin.py","def _save(
    im: Image.Image, fp: IO[bytes], filename: str | bytes, save_all: bool = False
) -> None:
    # header
    if ""palette"" in im.encoderinfo or ""palette"" in im.info:
        palette = im.encoderinfo.get(""palette"", im.info.get(""palette""))
    else:
        palette = None
        im.encoderinfo.setdefault(""optimize"", True)

    if not save_all or not _write_multiple_frames(im, fp, palette):
        _write_single_frame(im, fp, palette)

    fp.write(b"";"")  # end of file

    if hasattr(fp, ""flush""):
        fp.flush()","6","4","17","0","0.059","1","0","Okay"
"_executor_map","concurrent.py","def _executor_map(PoolExecutor, fn, *iterables, **tqdm_kwargs):
    """"""
    Implementation of `thread_map` and `process_map`.

    Parameters
    ----------
    tqdm_class  : [default: tqdm.auto.tqdm].
    max_workers  : [default: min(32, cpu_count() + 4)].
    chunksize  : [default: 1].
    lock_name  : [default: """":str].
    """"""
    kwargs = tqdm_kwargs.copy()
    if ""total"" not in kwargs:
        kwargs[""total""] = length_hint(iterables[0])
    tqdm_class = kwargs.pop(""tqdm_class"", tqdm_auto)
    max_workers = kwargs.pop(""max_workers"", min(32, cpu_count() + 4))
    chunksize = kwargs.pop(""chunksize"", 1)
    lock_name = kwargs.pop(""lock_name"", """")
    with ensure_lock(tqdm_class, lock_name=lock_name) as lk:
        # share lock in case workers are already using `tqdm`
        with PoolExecutor(max_workers=max_workers, initializer=tqdm_class.set_lock,
                          initargs=(lk,)) as ex:
            return list(tqdm_class(ex.map(fn, *iterables, chunksize=chunksize), **kwargs))","2","2","23","1","0.043","2","1","Good"
"stripped_value","_header_value_parser.py","def stripped_value(self):
    for token in self:
        if token.token_type.endswith('attrtext'):
            return token.value","3","1","4","0","0.0","2","1","Good"
"subset_glyphs","__init__.py","def subset_glyphs(self, s):
    self.alternates = {
        g: [v for v in vlist if v in s.glyphs]
        for g, vlist in self.alternates.items()
        if g in s.glyphs and any(v in s.glyphs for v in vlist)
    }
    return bool(self.alternates)","7","2","7","0","0.0","0","1","Okay"
"__init__","support.py","def __init__(
    self,
    fp: gettext._TranslationsReader | None = None,
    domain: str | None = None,
):
    """"""Initialize the translations catalog.

    :param fp: the file-like object the translation should be read from
    :param domain: the message domain (default: 'messages')
    """"""
    super().__init__(fp=fp)
    self.domain = domain or self.DEFAULT_DOMAIN","2","3","12","1","0.0","0","0","Good"
"write","ssl.py","def write(self, data):
    """"""Write 'data' to the SSL object and return the number of bytes
    written.

    The 'data' argument must support the buffer interface.
    """"""
    return self._sslobj.write(data)","1","2","7","1","0.0","0","1","Good"
"imul_num","rings.py","def imul_num(p, c):
    """"""multiply inplace the polynomial p by an element in the
    coefficient ring, provided p is not one of the generators;
    else multiply not inplace

    Examples
    ========

    >>> from sympy.polys.rings import ring
    >>> from sympy.polys.domains import ZZ

    >>> _, x, y = ring('x, y', ZZ)
    >>> p = x + y**2
    >>> p1 = p.imul_num(3)
    >>> p1
    3*x + 3*y**2
    >>> p1 is p
    True
    >>> p = x
    >>> p1 = p.imul_num(3)
    >>> p1
    3*x
    >>> p1 is p
    False

    """"""
    if p in p.ring._gens_set:
        return p*c
    if not c:
        p.clear()
        return
    for exp in p:
        p[exp] *= c
    return p","4","2","34","1","0.0","1","3","Good"
"read_int4","pickletools.py","def read_int4(f):
    r""""""
    >>> import io
    >>> read_int4(io.BytesIO(b'\xff\x00\x00\x00'))
    255
    >>> read_int4(io.BytesIO(b'\x00\x00\x00\x80')) == -(2**31)
    True
    """"""

    data = f.read(4)
    if len(data) == 4:
        return _unpack(""<i"", data)[0]
    raise ValueError(""not enough data in stream to read int4"")","2","1","13","1","0.0","1","1","Good"
"_build_writer","arrow_writer.py","def _build_writer(self, inferred_schema: pa.Schema):
    self._schema, self._features = self._build_schema(inferred_schema)
    self.pa_writer = pq.ParquetWriter(
        self.stream,
        self._schema,
        use_content_defined_chunking=self.use_content_defined_chunking,
        write_page_index=self.write_page_index,
        compression={
            col: ""none"" if require_storage_embed(feature) else ""snappy"" for col, feature in self._features.items()
        },
        use_dictionary=[col for col, feature in self._features.items() if not require_storage_embed(feature)],
        column_encoding={
            col: ""PLAIN"" for col, feature in self._features.items() if require_storage_embed(feature)
        },
    )
    if self.use_content_defined_chunking is not False:
        self.pa_writer.add_key_value_metadata(
            {""content_defined_chunking"": json.dumps(self.use_content_defined_chunking)}
        )","8","2","19","0","0.0","1","0","Okay"
"_starts_expression","c_parser.py","def _starts_expression(self, tok: Optional[_Token] = None) -> bool:
    tok = tok or self._peek()
    if tok is None:
        return False
    return tok.type in _STARTS_EXPRESSION","3","2","5","0","0.0","1","2","Good"
"subset_glyphs","__init__.py","def subset_glyphs(self, s):
    glyphs = s.glyphs_gsubed
    table = self.table
    if table.LigCaretList:
        indices = table.LigCaretList.Coverage.subset(glyphs)
        table.LigCaretList.LigGlyph = _list_subset(table.LigCaretList.LigGlyph, indices)
        table.LigCaretList.LigGlyphCount = len(table.LigCaretList.LigGlyph)
    if table.MarkAttachClassDef:
        table.MarkAttachClassDef.classDefs = {
            g: v for g, v in table.MarkAttachClassDef.classDefs.items() if g in glyphs
        }
    if table.GlyphClassDef:
        table.GlyphClassDef.classDefs = {
            g: v for g, v in table.GlyphClassDef.classDefs.items() if g in glyphs
        }
    if table.AttachList:
        indices = table.AttachList.Coverage.subset(glyphs)
        GlyphCount = table.AttachList.GlyphCount
        table.AttachList.AttachPoint = [
            table.AttachList.AttachPoint[i] for i in indices if i < GlyphCount
        ]
        table.AttachList.GlyphCount = len(table.AttachList.AttachPoint)
    if hasattr(table, ""MarkGlyphSetsDef"") and table.MarkGlyphSetsDef:
        markGlyphSets = table.MarkGlyphSetsDef
        for coverage in markGlyphSets.Coverage:
            if coverage:
                coverage.subset(glyphs)

        s.used_mark_sets = [i for i, c in enumerate(markGlyphSets.Coverage) if c.glyphs]
        markGlyphSets.Coverage = [c for c in markGlyphSets.Coverage if c.glyphs]

    return True","19","2","32","0","0.0","3","1","Bad"
"__init__","core.py","def __init__(
    self,
    match_string: str = """",
    ident_chars: typing.Optional[str] = None,
    *,
    matchString: str = """",
    identChars: typing.Optional[str] = None,
):
    identChars = identChars or ident_chars
    match_string = matchString or match_string
    super().__init__(match_string, identChars, caseless=True)","3","3","11","0","0.0","0","0","Good"
"prime_valuation","primes.py","def prime_valuation(I, P):
    r""""""
    Compute the *P*-adic valuation for an integral ideal *I*.

    Examples
    ========

    >>> from sympy import QQ
    >>> from sympy.polys.numberfields import prime_valuation
    >>> K = QQ.cyclotomic_field(5)
    >>> P = K.primes_above(5)
    >>> ZK = K.maximal_order()
    >>> print(prime_valuation(25*ZK, P[0]))
    8

    Parameters
    ==========

    I : :py:class:`~.Submodule`
        An integral ideal whose valuation is desired.

    P : :py:class:`~.PrimeIdeal`
        The prime at which to compute the valuation.

    Returns
    =======

    int

    See Also
    ========

    .PrimeIdeal.valuation

    References
    ==========

    .. [1] Cohen, H. *A Course in Computational Algebraic Number Theory.*
       (See Algorithm 4.8.17.)

    """"""
    p, ZK = P.p, P.ZK
    n, W, d = ZK.n, ZK.matrix, ZK.denom

    A = W.convert_to(QQ).inv() * I.matrix * d / I.denom
    # Although A must have integer entries, given that I is an integral ideal,
    # as a DomainMatrix it will still be over QQ, so we convert back:
    A = A.convert_to(ZZ)
    D = A.det()
    if D % p != 0:
        return 0

    beta = P.test_factor()

    f = d ** n // W.det()
    need_complete_test = (f % p == 0)
    v = 0
    while True:
        # Entering the loop, the cols of A represent lin combs of omegas.
        # Turn them into lin combs of thetas:
        A = W * A
        # And then one column at a time...
        for j in range(n):
            c = ZK.parent(A[:, j], denom=d)
            c *= beta
            # ...turn back into lin combs of omegas, after multiplying by beta:
            c = ZK.represent(c).flat()
            for i in range(n):
                A[i, j] = c[i]
        if A[n - 1, n - 1].element % p != 0:
            break
        A = A / p
        # As noted above, domain converts to QQ even when division goes evenly.
        # So must convert back, even when we don't ""need_complete_test"".
        if need_complete_test:
            # In this case, having a non-integer entry is actually just our
            # halting condition.
            try:
                A = A.convert_to(ZZ)
            except CoercionFailed:
                break
        else:
            # In this case theory says we should not have any non-integer entries.
            A = A.convert_to(ZZ)
        v += 1
    return v","8","2","86","1","0.128","3","2","Okay"
"cofactors","rings.py","def cofactors(f, g):
    if not f and not g:
        zero = f.ring.zero
        return zero, zero, zero
    elif not f:
        h, cff, cfg = f._gcd_zero(g)
        return h, cff, cfg
    elif not g:
        h, cfg, cff = g._gcd_zero(f)
        return h, cff, cfg
    elif len(f) == 1:
        h, cff, cfg = f._gcd_monom(g)
        return h, cff, cfg
    elif len(g) == 1:
        h, cfg, cff = g._gcd_monom(f)
        return h, cff, cfg

    J, (f, g) = f.deflate(g)
    h, cff, cfg = f._gcd(g)

    return (h.inflate(J), cff.inflate(J), cfg.inflate(J))","7","2","21","0","0.0","5","6","Okay"
"draw","grids.py","def draw(self):
    # general widget bits
    group = Group()
    x, y, w, h, c0, c1 = self._flipRectCorners()
    vertical = self.orientation == 'vertical'
    cylinderMode = self.cylinderMode
    linG = getattr(getattr(self,'_canvas',None),'linearGradient',None)
    if linG:
        canv = linG.__self__
        canv.saveState()
        p = canv.beginPath()
        p.rect(x, y, w, h)
        canv.clipPath(p, stroke=0)
        if cylinderMode:
            if vertical:
                linG(x, y, x+w/2, y, (c0,c1), extend=False)
                linG(x+w/2, y, x+w, y, (c1,c0), extend=False)
            else:
                linG(x, y, x, y+h/2, (c0,c1), extend=False)
                linG(x, y+h/2, x, y+h, (c1,c0), extend=False)
        else:
            if vertical:
                linG(x, y, x+w, y, (c0,c1), extend=False)
            else:
                linG(x, y, x, y+h, (c0,c1), extend=False)
        canv.restoreState()
    else:
        numShades = self.numShades
        if cylinderMode:
            if not numShades%2: numShades = numShades+1
            halfNumShades = int((numShades-1)/2) + 1
        num = float(numShades) # must make it float!
        if vertical:
            if numShades == 1:
                V = [x]
            else:
                V = frange(x, x + w, w/num)
        else:
            if numShades == 1:
                V = [y]
            else:
                V = frange(y, y + h, h/num)

        for v in V:
            stripe = vertical and Rect(v, y, w/num, h) or Rect(x, v, w, h/num)
            if cylinderMode:
                if V.index(v)>=halfNumShades:
                    col = colors.linearlyInterpolatedColor(c1,c0,V[halfNumShades],V[-1], v)
                else:
                    col = colors.linearlyInterpolatedColor(c0,c1,V[0],V[halfNumShades], v)
            else:
                col = colors.linearlyInterpolatedColor(c0,c1,V[0],V[-1], v)
            stripe.fillColor = col
            stripe.strokeColor = col
            stripe.strokeWidth = 1
            group.add(stripe)
    if self.strokeColor and self.strokeWidth>=0:
        rect = Rect(x, y, w, h)
        rect.strokeColor = self.strokeColor
        rect.strokeWidth = self.strokeWidth
        rect.fillColor = None
        group.add(rect)
    return group","17","1","63","0","0.016","4","1","Bad"
"assert_no_path_traversal","wheel.py","def assert_no_path_traversal(dest_dir_path: str, target_path: str) -> None:
    if not is_within_directory(dest_dir_path, target_path):
        message = (
            ""The wheel {!r} has a file {!r} trying to install""
            "" outside the target directory {!r}""
        )
        raise InstallationError(
            message.format(wheel_path, target_path, dest_dir_path)
        )","2","2","9","0","0.0","1","0","Good"
"_extern_python_decl","recompiler.py","def _extern_python_decl(self, tp, name, tag_and_space):
    prnt = self._prnt
    if isinstance(tp.result, model.VoidType):
        size_of_result = '0'
    else:
        context = 'result of %s' % name
        size_of_result = '(int)sizeof(%s)' % (
            tp.result.get_c_name('', context),)
    prnt('static struct _cffi_externpy_s _cffi_externpy__%s =' % name)
    prnt('  { ""%s.%s"", %s, 0, 0 };' % (
        self.module_name, name, size_of_result))
    prnt()
    #
    arguments = []
    context = 'argument of %s' % name
    for i, type in enumerate(tp.args):
        arg = type.get_c_name(' a%d' % i, context)
        arguments.append(arg)
    #
    repr_arguments = ', '.join(arguments)
    repr_arguments = repr_arguments or 'void'
    name_and_arguments = '%s(%s)' % (name, repr_arguments)
    if tp.abi == ""__stdcall"":
        name_and_arguments = '_cffi_stdcall ' + name_and_arguments
    #
    def may_need_128_bits(tp):
        return (isinstance(tp, model.PrimitiveType) and
                tp.name == 'long double')
    #
    size_of_a = max(len(tp.args)*8, 8)
    if may_need_128_bits(tp.result):
        size_of_a = max(size_of_a, 16)
    if isinstance(tp.result, model.StructOrUnion):
        size_of_a = 'sizeof(%s) > %d ? sizeof(%s) : %d' % (
            tp.result.get_c_name(''), size_of_a,
            tp.result.get_c_name(''), size_of_a)
    prnt('%s%s' % (tag_and_space, tp.result.get_c_name(name_and_arguments)))
    prnt('{')
    prnt('  char a[%s];' % size_of_a)
    prnt('  char *p = a;')
    for i, type in enumerate(tp.args):
        arg = 'a%d' % i
        if (isinstance(type, model.StructOrUnion) or
                may_need_128_bits(type)):
            arg = '&' + arg
            type = model.PointerType(type)
        prnt('  *(%s)(p + %d) = %s;' % (type.get_c_name('*'), i*8, arg))
    prnt('  _cffi_call_python(&_cffi_externpy__%s, p);' % name)
    if not isinstance(tp.result, model.VoidType):
        prnt('  return *(%s)p;' % (tp.result.get_c_name('*'),))
    prnt('}')
    prnt()
    self._num_externpy += 1","11","4","53","0","0.075","2","1","Bad"
"solve_typer_info_help","main.py","def solve_typer_info_help(typer_info: TyperInfo) -> str:
    # Priority 1: Explicit value was set in app.add_typer()
    if not isinstance(typer_info.help, DefaultPlaceholder):
        return inspect.cleandoc(typer_info.help or """")
    # Priority 2: Explicit value was set in sub_app.callback()
    if typer_info.typer_instance and typer_info.typer_instance.registered_callback:
        callback_help = typer_info.typer_instance.registered_callback.help
        if not isinstance(callback_help, DefaultPlaceholder):
            return inspect.cleandoc(callback_help or """")
    # Priority 3: Explicit value was set in sub_app = typer.Typer()
    if typer_info.typer_instance and typer_info.typer_instance.info:
        instance_help = typer_info.typer_instance.info.help
        if not isinstance(instance_help, DefaultPlaceholder):
            return inspect.cleandoc(instance_help or """")
    # Priority 4: Implicit inference from callback docstring in app.add_typer()
    if typer_info.callback:
        doc = inspect.getdoc(typer_info.callback)
        if doc:
            return doc
    # Priority 5: Implicit inference from callback docstring in @app.callback()
    if typer_info.typer_instance and typer_info.typer_instance.registered_callback:
        callback = typer_info.typer_instance.registered_callback.callback
        if not isinstance(callback, DefaultPlaceholder):
            doc = inspect.getdoc(callback or """")
            if doc:
                return doc
    # Priority 6: Implicit inference from callback docstring in typer.Typer()
    if typer_info.typer_instance and typer_info.typer_instance.info:
        instance_callback = typer_info.typer_instance.info.callback
        if not isinstance(instance_callback, DefaultPlaceholder):
            doc = inspect.getdoc(instance_callback)
            if doc:
                return doc
    # Value not set, use the default
    return typer_info.help.value","22","1","35","0","0.2","3","7","Okay"
"__int__","fractions.py","def __int__(a, _index=operator.index):
    """"""int(a)""""""
    if a._numerator < 0:
        return _index(-(-a._numerator // a._denominator))
    else:
        return _index(a._numerator // a._denominator)","2","2","6","1","0.0","1","2","Good"
